L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
59.8,825,Вдп. Учар,,0.5,0,,,
101.5,1204,Пер. Кату-Ярык,\n,1,0.5,-3,,
115.5,1640,Водораздел рек Чулышман и Башкаус,\n,0.5,0,,,
152.7,1216,Р. Башкаус в Улагане,\n,0.5,1,1,,
182,2082,Пер. Улаганский,\n,1,0.5,-3,,
331,671,"Р. Катунь, устье р. Бол. Ильгумень",\n,0.5,1,,,
351.5,1271,Пер. Чике-Таман,\n,0.5,0,,,
418.3,1632,Пер. Ороктойский,,0.5,0,,,
440,495,"Р. Катунь, Ороктойский мост",\n,1,1,-2,2,
